Electric Attack Nanochip 2 (L);Mindforce;Electric;23.1;14;34;5.5;0.130;322;3.350;11.00;0;2.904;58.9;Yes;Looted; 
Electric Attack Nanochip 3;Mindforce;Electric;24.2;24;35;9.7;0.561;523;5.791;39.00;0;2.880;56.7;Yes;Looted; 
Electric Attack Nanochip 3 (L);Mindforce;Electric;24.2;24;35;9.7;0.211;552;5.731;19.00;0;2.910;59.2;Yes;Looted; 
Electric Attack Nanochip 4;Mindforce;Electric;23.1;36;36;15.0;0.720;796;8.680;53.00;0;2.882;56.9;Yes;Looted; 
Electric Attack Nanochip 4 (L);Mindforce;Electric;23.1;36;36;15.0;0.442;831;8.752;27.00;0;2.859;59.2;Yes;Looted; 
Electric Attack Nanochip 5;Mindforce;Electric;24.2;43;37;18.4;0.913;946;10.373;71.00;0;2.881;56.7;Yes;Looted; 
Electric Attack Nanochip 5 (L);Mindforce;Electric;24.2;43;37;18.4;0.377;989;10.267;37.00;0;2.911;59.2;Yes;Looted; 
Electric Attack Nanochip 5, TEN Edition;Mindforce;Electric;26.4;44;39;19.9;0.932;937;10.302;73.00;0;2.968;63.8;Yes;0; 
Electric Attack Nanochip 6;Mindforce;Electric;25.3;51;38;22.4;0;1124;0;87.00;0;0;56.7;Yes;Looted; 
Electric Attack Nanochip 6 (L);Mindforce;Electric;25.3;51;38;22.4;0.449;1174;12.189;45.00;0;2.908;59.1;Yes;Looted; 
Electric Attack Nanochip 7;Mindforce;Electric;25.3;62;40;28.7;1.305;1365;14.955;112.00;0;2.881;56.8;Yes;Looted; 
Electric Attack Nanochip 7 (L);Mindforce;Electric;25.3;62;40;28.7;0.556;1425;14.806;59.00;0;2.910;59.1;Yes;Looted; 
Electric Attack Nanochip 8;Mindforce;Electric;24.2;74;41;35.1;0;1596;0;169.00;0;0;56.8;Yes;0; 
Electric Attack Nanochip 8 (L);Mindforce;Electric;24.2;74;41;35.1;0.789;1688;17.669;87.00;0;2.911;59.1;Yes;Looted; 
Electric Attack Nanochip 9;Mindforce;Electric;26.4;82;42;39.9;2.200;1775;19.950;190.00;0;2.857;56.8;Yes;0; 
Electric Attack Nanochip 9 (L);Mindforce;Electric;26.4;82;42;39.9;0.880;1870;19.580;101.00;328.00%;2.911;59.1;Yes;Looted; 
Electric Attack Nanochip 10;Mindforce;Electric;27.5;87;43;43.3;2.182;1880;20.982;214.00;0;2.882;56.7;Yes;Looted; 
Electric Attack Nanochip 10 (L);Mindforce;Electric;27.5;87;43;43.3;0.955;1982;20.775;113.00;200.00%;2.910;59.1;Yes;Looted; 
Electric Attack Nanochip 11;Mindforce;Electric;27.5;94;44;47.9;2.328;2039;22.718;233.00;0;2.876;56.7;Yes;Looted; 
Electric Attack Nanochip 11 (L);Mindforce;Electric;27.5;94;44;47.9;0.964;2146;22.424;121.00;0;2.913;59.1;Yes;Looted; 
Electric Attack Nanochip 12 (L);Mindforce;Electric;28.6;101;45;52.6;1.040;2310;24.140;124.00;0;2.908;59.1;Yes;Looted; 
Electric Attack Nanochip 13 (L);Mindforce;Electric;28.6;109;45;56.8;1.102;2495;26.052;130.00;0;2.908;59.1;Yes;Looted; 
Electric Attack Nanochip 13, FEN Edition;Mindforce;Electric;28.6;109;50;63.1;0.972;2246;23.432;130.00;0;3.233;79.1;Yes;Looted, Event; 
Electric Attack Nanochip, SP Edition (L);Mindforce;Electric;23.1;10;33;3.8;0.860;231;3.170;5.50;0;2.192;58.5;Yes;SP; 
Electric Strike Chip 1 (L);Mindforce;Electric;34.1;108;3;3.8;5.257;2115;26.407;21.00;0;2.842;54.3;Yes;Looted; 
Electric Strike Chip 2 (L);Mindforce;Electric;34.1;119;2;2.8;5.763;2305;28.813;24.00;0;2.870;54.4;Yes;Looted; 
Electric Strike Chip 3 (L);Mindforce;Electric;35.2;128;2;3.0;0;2505;0;26.00;0;0;0;Yes;Looted; 
Electric Strike Chip 4 (L);Mindforce;Electric;34.1;138;2;3.2;6.721;2700;33.721;28.00;0;2.844;54.4;Yes;Looted; 
Electric Strike Chip 5 (L);Mindforce;Electric;35.2;147;2;3.4;0;2870;0;30.00;110.00%;0;54.4;Yes;Looted; 
Electric Strike Chip 6 (L);Mindforce;Electric;35.2;156;2;3.6;0;3050;0;32.00;107.00%;0;0;Yes;Looted; 
Electric Strike Chip 7 (L);Mindforce;Electric;36.3;164;2;3.8;0;3208;0;34.00;0;0;0;Yes;Looted; 
Electric Strike Chip 8 (L);Mindforce;Electric;35.2;175;2;4.1;0;3420;0;35.50;115.00%;0;54.5;Yes;Looted; 
Electric Strike Chip 9 (L);Mindforce;Electric;35.2;183;2;4.2;0;3580;0;37.00;0;0;54.5;Yes;Looted; 
Electric Strike Chip 10 (L);Mindforce;Electric;36.3;190;2;4.4;0;3715;0;38.50;0;0;0;Yes;Looted; 
Electric Strike Chip 11 (L);Mindforce;Electric;35.2;200;1;2.3;0;3910;0;40.00;120.00%;0;54.5;Yes;Looted; 
Electric Strike Nanochip (L);Mindforce;Electric;34.1;108;3;3.8;0;2565;0;21.00;0;0;0;Yes;Looted; 
Elysia Prototype  (L);Pistol;Laser;27.5;2;67;1.6;0;48;0;0.10;0;0;56.9;Yes;Mission; 
Embra Ignition Enblade (L);Melee;Longblades;8.0;199;30;69.2;0;0;0;440.00;0;0;63.1;Yes;Looted; 
Embra Laser Sword C1;Melee;Longblades;5.0;56;24;15.6;13.652;0;13.652;2972.00;0;2.851;54.9;Yes;Looted; 
Embra Laser Sword C1 (L);Melee;Longblades;5.0;56;24;15.6;13.400;0;13.400;148.00;0;2.904;58.8;Yes;Looted; 
Embra Laser Sword C1, Adjusted;Melee;Longblades;6.0;59;29;19.8;14.203;0;14.203;2972.00;550.00 PED;2.887;57.6;Yes;Looted; 
Embra Laser Sword C1, Improved;Melee;Longblades;6.0;61;29;20.5;14.600;0;14.600;2972.00;0;2.904;59.9;Yes;Looted; 
Embra Laser Sword C1, Improved (L);Melee;Longblades;6.0;61;29;20.5;14.000;0;14.000;1891.00;0;3.028;0;Yes;Looted; 
Embra Quantum EnBlade (L);Melee;Longblades;8.0;193;32;71.5;45.230;0;45.230;448.00;0;2.966;63.5;Yes;Looted; 
Embra Spectral Enblade (L);Melee;Longblades;8.0;178;33;68.0;41.850;0;41.850;406.00;0;2.956;62.8;Yes;Looted; 
Embra Spectral EnBlade, E.L.M Edition (L);Melee;Longblades;8.0;178;33;68.0;0.011;4184;41.851;1.00;0;2.956;62.8;Yes;Looted; 
Embra Spectral EnBlade, MM Edition (L);Melee;Longblades;8.0;178;33;68.0;0.011;4184;41.851;1.00;0;2.956;62.8;Yes;Looted; 
Emik Enigma L1 (L);Pistol;BLP;40.7;62;46;33.0;1.275;1375;15.025;129.00;107.00%;2.868;56.2;Yes;Looted; 
Emik Enigma L1, CDF Edition (L);Pistol;BLP;40.7;62;46;33.0;0.003;1502;15.023;0.60;0;2.868;56.2;Yes;Daily Token Trader; 
Emik Enigma L2;Pistol;BLP;38.5;62;52;37.3;1.266;1374;15.006;280.00;15000.00 PED;2.872;56.4;Yes;Event, Looted; 
Emik Enigma L2 (L);Pistol;BLP;38.5;62;52;37.3;1.265;1374;15.005;143.00;116.00%;2.872;56.4;Yes;Looted; 
Emik Enigma L2, CDF Edition (L);Pistol;BLP;38.5;62;52;37.3;0.003;1500;15.003;0.60;0;2.872;56.5;Yes;Daily Token Trader; 
Emik Enigma L3 (L);Pistol;BLP;35.2;62;57;40.9;1.260;1369;14.950;156.00;117.00%;2.882;57.2;Yes;Looted; 
Emik Enigma L3, CDF Edition (L);Pistol;BLP;35.2;62;57;40.9;0.003;1495;14.953;0.60;0;2.882;57.2;Yes;Daily Token Trader; 
Emik Enigma L4;Pistol;BLP;35.2;77;60;53.5;1.665;1675;18.415;339.00;50000.00 PED;2.906;59.0;Yes;Event, Looted; 
Emik Enigma L4 (L);Pistol;BLP;35.2;77;60;53.5;1.665;1675;18.415;239.00;110.00%;2.906;59.0;Yes;Looted; 
Emik Enigma L4, CDF Edition (L);Pistol;BLP;35.2;77;60;53.5;0.004;1841;18.414;0.80;0;2.906;59.0;Yes;Daily Token Trader; 
Emik Enigma L4, E.L.M Edition (L);Pistol;BLP;35.2;77;60;53.5;0.010;1841;18.420;1.00;0;2.905;58.9;Yes;Event, Looted; 
Emik Enigma L4, MM Edition (L);Pistol;BLP;35.2;77;60;53.5;0;1841;0;1.00;0;0;58.9;Yes;Looted; 
Emik Enigma L5 (L);Pistol;BLP;33.0;82;62;58.9;1.780;1770;19.480;267.00;110.00%;2.926;60.5;Yes;Looted; 
Emik Enigma L5, CDF Edition (L);Pistol;BLP;33.0;82;62;58.9;0.005;1948;19.485;1.00;0;2.925;60.4;Yes;Daily Token Trader; 
Emik Enigma L6 (L);Pistol;BLP;33.0;85;62;61.0;1.710;1840;20.110;269.00;115.00%;2.938;61.4;Yes;Looted; 
Emik Enigma L6, CDF Edition (L);Pistol;BLP;33.0;85;62;61.0;0.005;2011;20.115;1.00;0;2.937;61.3;Yes;Daily Token Trader; 
Emik S30;Pistol;BLP;18.7;5;47;2.7;0.235;100;1.235;200.00;0;2.814;52.3;Yes;Looted; 
Emik S30 (L);Pistol;BLP;18.7;5;47;2.7;0.211;100;1.211;5.20;0;2.870;56.3;Yes;Looted; 
Emik S50;Pistol;BLP;23.1;16;45;8.3;0.990;300;3.990;1388.00;0;2.787;50.1;Yes;Looted; 
Emik S50 (L);Pistol;BLP;23.1;16;45;8.3;0.919;300;3.919;45.00;0;2.837;54.0;Yes;Looted; 
Emik S60 (L);Pistol;BLP;44.0;29;52;17.5;0.698;637;7.068;54.00;0;2.852;55.0;Yes;Looted; 
Emik S60, CDF Edition (L);Pistol;BLP;44.0;29;52;17.5;0.002;706;7.062;0.40;0;2.854;55.1;Yes;Daily Token Trader; 
Emik S60, E.L.M Edition (L);Pistol;BLP;44.0;29;52;17.5;0.012;705;7.062;1.00;449.00%;2.854;55.1;Yes;Looted; 
Emik S60, MM Edition (L);Pistol;BLP;44.0;29;52;17.5;0.012;705;7.062;1.00;0;2.854;55.1;Yes;Looted; 
Emik T10;Pistol;BLP;28.6;51;54;31.9;1.754;1100;12.754;7724.00;1900.00 PED;2.779;49.8;Yes;Looted; 
Emik T10 (L);Pistol;BLP;28.6;51;54;31.9;1.507;1100;12.507;250.00;0;2.834;53.7;Yes;Looted; 
Emik X0 (L);Pistol;BLP;37.4;62;51;36.6;0.012;1470;14.712;1.00;6100.00%;2.929;60.7;Yes;Mission; 
Emik X5;Pistol;BLP;30.8;91;57;60.1;3.730;1900;22.730;20542.00;0.00 PED;2.782;50.1;Yes;Looted; 
Emik X5 (L);Pistol;BLP;30.8;91;57;60.1;3.293;1900;22.293;455.00;0;2.837;53.9;Yes;Looted; 
Enkidd Dire S.1 (L);Rifle;BLP;38.5;23;42;11.2;0.703;486;5.563;44.00;0;2.873;56.6;Yes;Looted, Crafted; 
Enkidd Dire S.2 (L);Rifle;BLP;38.5;25;42;12.2;0.703;532;6.023;44.00;0;2.885;57.4;Yes;Looted; 
Enkidd Dire S.3 (L);Rifle;BLP;38.5;29;43;14.4;0.694;632;7.014;44.00;0;2.874;56.6;Yes;Looted; 
Enkidd Dire S.4 (L);Rifle;BLP;40.7;33;43;16.4;0.855;710;7.955;49.00;0;2.883;56.7;Yes;Looted; 
Enkidd Dire S.5 (L);Rifle;BLP;40.7;37;45;19.3;0.805;811;8.915;49.00;0;2.884;57.4;Yes;Looted; 
Enkidd Dire S.6 (L);Rifle;BLP;40.7;41;47;22.3;0.796;912;9.916;49.00;110.00%;2.874;56.6;Yes;Looted; 
Enkidd Dire S.7 (L);Rifle;BLP;42.9;45;47;24.5;0.805;1007;10.875;49.00;0;2.876;56.7;Yes;Looted; 
Enkidd Dire S.8 (L);Rifle;BLP;42.9;49;49;27.8;0.895;1100;11.895;54.00;0;2.863;55.8;Yes;Looted; 
Enkidd Dire S.9 (L);Rifle;BLP;45.1;53;51;31.3;0;1190;0;54.00;110.00%;0;57.0;Yes;Looted; 
Enkidd Dire S.11 (L);Rifle;BLP;46.2;60;53;36.8;0.900;1355;14.450;54.00;0;2.886;57.5;Yes;Looted; 
Enkidd Dire S.12 (L);Rifle;BLP;46.2;67;53;41.1;0;1520;0;59.00;0;0;56.6;Yes;Looted; 
Enkidd Dire S.13 (L);Rifle;BLP;47.3;67;59;45.8;1.085;1525;16.335;64.00;0;2.851;54.9;Yes;Looted; 
Enkidd Fang S.1 (L);Pistol;BLP;27.5;14;53;8.6;0.577;280;3.377;34.00;0;2.881;57.1;Yes;Crafted, Looted; 
Enkidd Fang S.2 (L);Pistol;BLP;27.5;16;53;9.8;0.585;329;3.875;34.00;0;2.870;56.3;Yes;Looted; 
Enkidd Fang S.3 (L);Pistol;BLP;27.5;20;55;12.7;0.580;424;4.820;34.00;0;2.884;57.3;Yes;Looted; 
Enkidd Fang S.4 (L);Pistol;BLP;29.7;21;55;13.4;0.677;440;5.077;39.00;0;2.875;56.7;Yes;Looted; 
Enkidd Fang S.5 (L);Pistol;BLP;29.7;23;57;15.2;0.676;488;5.556;39.00;0;2.877;56.8;Yes;Looted; 
Enkidd Fang S.6 (L);Pistol;BLP;29.7;26;60;18.1;0.675;560;6.275;39.00;0;2.880;57.0;Yes;Looted; 
Enkidd Fang S.7 (L);Pistol;BLP;31.9;31;60;21.5;0.677;680;7.477;39.00;0;2.882;57.2;Yes;Looted; 
Enkidd Fang S.8 (L);Pistol;BLP;31.9;34;62;24.4;0.775;745;8.225;44.00;110.00%;2.873;56.5;Yes;Looted; 
Enkidd Fang S.9 (L);Pistol;BLP;34.1;37;65;27.9;0.753;818;8.933;44.00;0;2.879;56.4;Yes;Looted; 
Enkidd Fang S.10 (L);Pistol;BLP;34.1;39;68;30.7;0;865;0;44.00;0;0;56.8;Yes;Looted; 
Enkidd Fang S.11 (L);Pistol;BLP;35.2;41;68;32.3;0;911;0;44.00;0;0;57.1;Yes;Looted; 
Enkidd Fang S.12 (L);Pistol;BLP;35.2;43;71;35.4;0;950;0;49.00;0;0;57.1;Yes;Looted; 
Enkidd Fang S.13 (L);Pistol;BLP;36.3;46;75;40.0;0.994;1013;11.124;54.00;0;2.874;56.6;Yes;Looted; 
Enkidd Howler Prototype;Rifle;Gauss;68.2;40;28;13.0;0.700;897;9.670;35.00;0;2.875;56.7;Yes;Looted; 
Enkidd Howler S.1 (L);Rifle;Gauss;82.5;49;29;16.5;0.900;1094;11.840;45.00;0.00%;2.876;56.8;Yes;Looted; 
Enkidd Howler S.2 (L);Rifle;Gauss;82.5;57;30;19.8;1.200;1258;13.780;55.00;126.00%;2.875;56.7;Yes;Looted; 
Enkidd Howler S.3 (L);Rifle;Gauss;99.0;62;32;23.0;1.600;1334;14.940;75.00;0;2.884;57.4;Yes;Looted; 
Enkidd Howler S.4;Rifle;Plasma;161.0;110;13;16.6;1.550;2510;26.650;150.00;275.00 PED;2.869;56.2;Yes;Crafted; 
Enkidd Howler S.5 (L);Rifle;Gauss;101.2;81;33;31.0;1.900;1768;19.580;90.00;0;2.875;56.7;Yes;Looted; 
Enkidd Series A-32 (L);Pistol;Plasma;38.5;60;56;38.9;1.510;1300;14.510;145.00;0;2.874;56.6;Yes;Crafted; 
Enkidd Series A-41 (L);Pistol;Plasma;40.7;70;56;45.4;1.597;1533;16.927;150.00;0;2.874;56.6;Yes;Crafted; 
Enkidd Series A-45 (L);Pistol;Plasma;25.7;75;56;48.7;1.735;1640;18.135;155.00;0;2.874;56.6;Yes;Crafted; 
Enkidd Series A-50 (L);Pistol;Plasma;45.1;80;56;51.9;1.814;1753;19.344;160.00;0;2.874;56.6;Yes;Crafted, Looted; 
Enkidd Series A-55 (L);Pistol;Plasma;46.2;85;56;55.1;1.852;1870;20.552;165.00;0;2.874;56.6;Yes;Crafted, Looted; 
Enki's Blood Red Supremacy (L);Melee;Shortblades;5.0;51;61;36.0;0;0;0;200.00;0;0;57.7;Yes;Token Trader;75% Deceleration on hit 0.8sec
Enki's Green Envy Rage (L);Melee;Shortblades;5.0;51;61;36.0;0;0;0;200.00;0;0;57.7;Yes;Token Trader;55% Deceleration on hit 0.8sec
Enki's Ice Blue Revenge (L);Melee;Shortblades;5.0;51;61;36.0;0;0;0;200.00;0;0;57.7;Yes;Token Trader;60% Deceleration on hit 0.8sec
Enki's Poison Purple Nemesis (L);Melee;Shortblades;5.0;51;61;36.0;0;0;0;200.00;0;0;57.7;Yes;Token Trader;65% Deceleration on hit 0.8sec
Enki's Pure White Anger (L);Melee;Shortblades;5.0;51;61;36.0;0;0;0;200.00;0;0;57.7;Yes;Token Trader;50% Deceleration on hit 0.8sec
Enki's Solar Orange Victory (L);Melee;Shortblades;5.0;51;61;36.0;0;0;0;200.00;0;0;57.7;Yes;Token Trader;70% Deceleration on hit 0.8sec
Eraktor Abomination (L);Support;Grenade;74.8;454;13;68.4;0;8700;0;241.00;0;0;58.3;Yes;Crafted; 
Eraktor Ekk 100 (L);Support;Grenade;68.2;182;13;27.4;8.743;3500;43.743;96.40;125.00%;2.892;57.9;Yes;Crafted; 
Eraktor Ekk 200 (L);Support;Grenade;66.0;223;13;33.6;10.237;4300;53.237;115.00;122.00%;2.911;57.4;Yes;Crafted; 
Eraktor Es 10 (L);Support;Grenade;50.6;41;13;6.2;2.000;800;10.000;18.00;117.00%;2.850;57.4;Yes;Crafted; 
Eraktor Es 20 (L);Support;Grenade;63.8;57;13;8.6;2.737;1100;13.737;32.00;119.00%;2.884;57.3;Yes;Crafted; 
Eraktor Force (L);Support;Grenade;67.1;306;13;46.1;13.919;6000;73.919;201.00;0;2.877;56.8;Yes;Crafted; 
Eraktor Impact (L);Support;Grenade;66.0;348;13;52.4;16.037;6800;84.037;241.00;136.93%;2.878;56.9;Yes;Crafted; 
Eraktor Maximus (L);Support;Grenade;77.0;414;13;62.3;0;8000;0;220.00;0;0;56.9;Yes;Crafted; 
Eron SoulCrusher;Rifle;Plasma;150.0;90;20;20.9;2.055;2000;22.055;300.00;0;2.836;53.9;Yes;Looted; 
Eron SoulGrinder;Rifle;Plasma;170.0;123;20;28.5;3.500;2660;30.100;450.00;0;2.840;54.1;Yes;Looted; 
Eron SoulReamer;Rifle;Plasma;190.0;160;20;37.1;3.800;3570;39.500;800.00;0;2.815;52.4;Yes;Looted; 
Eron SoulReaver;Rifle;Plasma;150.0;99;12;13.8;0;1792;0;145.00;750.00 PED;0;57.0;No;Event; 
Eron SoulScreamer;Rifle;Plasma;170.0;160;20;37.1;3.800;3570;39.500;600.00;0;2.815;52.4;Yes;Looted; 
Eron SoulShredder;Rifle;Plasma;130.0;60;20;13.9;1.700;1300;14.700;150.00;0;2.837;53.9;Yes;Looted; 
Eron SoulSplitter;Rifle;Plasma;160.0;225;5;13.0;14.462;4338;57.842;280.00;0;2.703;44.8;No;Looted; 
EWE EP-1 Neutron (L);Pistol;Laser;27.5;2;67;1.6;0.005;48;0.485;0.10;0;2.866;56.9;Yes;Mission; 
EWE EP-2 Proton (L);Pistol;Laser;35.2;4;74;3.4;0.010;96;0.970;0.20;758.00%;2.866;56.0;Yes;Looted; 
EWE EP-10 Self Defense;Pistol;Laser;22.0;12;30;4.2;0.040;300;3.040;13.00;0;2.743;47.4;No;Looted; 
EWE EP-10 Self Defense, SGA Edition;Pistol;Laser;22.0;13;32;4.8;0.293;300;3.293;13.00;0;2.744;47.4;No;Looted; 
EWE EP-11 Self-Reliant;Pistol;Laser;22.0;12;30;4.2;0.070;300;3.070;14.00;0;2.717;47.5;No;Looted; 
EWE EP-13 Galactica;Pistol;Laser;33.0;12;35;4.9;0.040;300;3.040;15.00;3.50 PED;2.743;47.4;No;Weap. Trader, Looted; 
EWE EP-14 Nebula;Pistol;Laser;27.5;18;35;7.3;0.560;400;4.560;20.00;0;2.743;47.8;No;Looted; 
EWE EP-14 Nebula, Mentor Edition;Pistol;Laser;29.7;18;38;7.9;0;390;0;30.00;0;0;58.2;No;Mentoring; 
EWE EP-16 Protector;Pistol;Laser;33.0;17;35;6.9;0.290;400;4.290;23.00;5.60 PED;2.754;48.1;No;Weap. Trader, Looted; 
EWE EP-17 Bodyguard;Pistol;Laser;33.0;21;40;9.7;0.280;500;5.280;30.00;121.00 PED;2.764;48.8;No;Looted; 
EWE EP-17 Bodyguard, Mentor Edition;Pistol;Laser;38.5;23;43;11.5;0.690;500;5.690;30.00;8.10 PED;2.809;51.6;No;Mentoring; 
EWE EP-17 Bodyguard, SGA Edition;Pistol;Laser;38.5;23;40;10.7;0.783;500;5.783;30.00;0;2.764;48.8;No;Looted; 
EWE EP-21 Defender;Pistol;Laser;33.0;26;46;13.9;0.450;600;6.450;50.00;0;2.802;51.4;No;Looted; 
EWE EP-21 Defender, Ancient, Improved;Pistol;Laser;77.0;35;60;24.3;0.140;800;8.140;500.00;5000.00 PED;2.988;65.3;No;Pregold; 
EWE EP-21 Defender, Improved;Pistol;Laser;44.0;35;60;24.3;0.140;800;8.140;500.00;3500.00 PED;2.988;65.3;No;Looted; 
EWE EP-21 Defender, Improved, SGA Edition;Pistol;Laser;44.0;36;60;25.0;0.373;800;8.373;500.00;4000.00 PED;2.988;65.3;No;Looted; 
EWE EP-22 Vanguard;Pistol;Laser;33.0;33;50;19.1;0.180;800;8.180;60.00;30.00 PED;2.804;51.6;No;Looted; 
EWE EP-22 Vanguard, Mentor Edition;Pistol;Laser;34.1;34;55;21.7;0;800;0;70.00;0;0;56.7;No;Mentoring; 
EWE EP-32 Enforcer;Pistol;Laser;33.0;27;50;15.6;0.660;600;6.660;58.00;0;2.818;52.5;No;Looted; 
EWE EP-32 Enforcer, Ancient;Pistol;Laser;38.5;27;50;15.6;0.660;600;6.660;58.00;0;2.818;52.5;No;Pregold; 
EWE EP-32 Enforcer, SGA Edition;Pistol;Laser;39.6;29;50;16.8;1.153;600;7.153;58.00;99.00 PED;2.818;52.5;No;Looted; 
EWE EP-33 Ultra Enforcer;Pistol;Laser;38.5;33;50;19.1;1.200;700;8.200;65.00;0;2.797;51.1;No;Looted; 
EWE EP-35 Serenity;Pistol;Laser;28.6;42;35;17.0;4.200;600;10.200;95.00;1200.00 PED;2.862;57.3;No;Looted; 
EWE EP-35 Serenity, SGA Edition;Pistol;Laser;39.6;42;35;17.0;0;600;0;95.00;0;0;57.3;No;Looted; 
EWE EP-38 Night Special;Pistol;Laser;24.2;58;33;22.2;6.100;800;14.100;96.00;10600.00 PED;2.859;55.5;No;Looted; 
EWE EP-38 Night Special, Augmented;Pistol;Laser;34.1;73;62;52.4;7.220;900;16.220;383.00;0;3.128;76.8;No;Looted; 
EWE EP-40 Mercenary;Pistol;Laser;33.0;41;55;26.1;0.950;900;9.950;77.00;0;2.864;55.9;No;Looted; 
EWE EP-40 Mercenary, Ancient, Modified;Pistol;Laser;66.0;67;86;66.7;0.300;1500;15.300;1500.00;150000.00 PED;3.043;69.7;No;Pregold; 
EWE EP-40 Mercenary, Mentor Edition;Pistol;Laser;33.0;42;55;26.8;1.000;950;10.500;80.00;0;2.780;50.8;No;Mentoring; 
EWE EP-40 Mercenary, Modified;Pistol;Laser;49.5;67;86;66.7;0.300;1500;15.300;1500.00;140000.00 PED;3.043;69.7;No;Looted; 
EWE EP-40 Mercenary, Modified (L);Pistol;Laser;49.5;67;86;66.7;0.300;1500;15.300;100.00;0;3.043;69.7;Yes;Looted; 
EWE EP-40 Mercenary, Modified, SGA Edition;Pistol;Laser;60.5;67;86;66.7;0.300;1500;15.300;1500.00;125000.00 PED;3.043;69.7;No;Looted; 
EWE EP-41 Military;Pistol;Laser;38.5;55;55;35.0;1.300;1200;13.300;90.00;100.00 PED;2.874;56.6;No;Looted; 
EWE EP-41 Military, Adjusted;Pistol;Laser;42.9;55;63;40.1;1.292;1200;13.292;90.00;2950.00 PED;2.876;56.7;Yes;Mission; 
EWE EP-41 Military, SGA Edition;Pistol;Laser;38.5;58;55;37.0;2.025;1200;14.025;90.00;0;2.874;56.6;No;Looted; 
EWE EP-43 Guard;Pistol;Laser;40.7;62;41;29.4;2.900;1200;14.900;167.00;0;2.892;54.5;No;Looted; 
EWE EP-45 Hunter;Pistol;Laser;38.5;58;52;34.9;2.200;1200;14.200;105.00;0;2.839;54.0;No;Looted; 
EWE EP-45 Hunter, SGA Edition;Pistol;Laser;45.1;58;52;34.9;0;1200;0;105.00;0;0;54.0;No;Looted; 
EWE EP-50 Ranger;Pistol;Laser;33.0;60;48;33.4;2.500;1200;14.500;111.00;0.00 PED;2.876;49.9;No;Looted; 
EWE EP-51 Eomon (L);Pistol;Laser;30.8;105;42;51.1;0.016;2500;25.016;1.00;20000.00%;2.917;59.8;Yes;Mission; 
EWE EP-52 Dissolver (L);Pistol;Laser;29.7;76;57;50.2;1.380;1673;18.110;185.00;118.00%;2.917;59.8;Yes;Looted; 
EWE EP-52 Dissolver, CDF Edition (L);Pistol;Laser;29.7;76;57;50.2;0.004;1811;18.114;0.80;0;2.916;59.7;Yes;Daily Token Trader; 
EWE EP-53 Submission (L);Pistol;Laser;29.7;79;59;54.0;1.490;1733;18.820;200.00;124.00%;2.917;59.8;Yes;Looted; 
EWE EP-53 Submission, CDF Edition (L);Pistol;Laser;29.7;79;59;54.0;0.004;1882;18.824;0.80;0;2.917;59.8;Yes;Daily Token Trader; 
EWE EP-53 Submission, E.L.M Edition (L);Pistol;Laser;29.7;79;59;54.0;0.010;1881;18.820;1.00;12000.00%;2.917;59.8;Yes;Looted; 
EWE EP-53 Submission, MM Edition (L);Pistol;Laser;29.7;79;59;54.0;0.010;1881;18.820;1.00;23500.00%;2.917;59.8;Yes;Looted; 
EWE EP-53 Submission, RX Edition (L);Pistol;Laser;29.7;79;59;54.0;0.010;1881;18.820;1.00;0;2.917;59.8;Yes;Looted; 
EWE EP-54 Fury (L);Pistol;Laser;30.8;80;61;56.5;1.495;1753;19.025;208.00;121.00%;2.922;60.2;Yes;Looted; 
EWE EP-54 Fury, CDF Edition (L);Pistol;Laser;30.8;80;61;56.5;0.004;1902;19.024;0.80;0;2.923;60.2;Yes;Daily Token Trader; 
EWE EP-57 Catalyzer;Pistol;Laser;42.9;67;81;62.9;1.800;1380;15.600;186.00;0;2.985;65.1;Yes;Looted; 
EWE EP-57 Catalyzer (L);Pistol;Laser;42.9;67;81;62.9;0;1380;0;186.00;0;0;65.1;Yes;Looted; 
EWE LC-100 Frontier;Carbine;Laser;57.2;46;54;28.8;0.870;1030;11.170;173.00;5000.00 PED;2.862;55.7;Yes;Looted; 
EWE LC-100 Frontier (L);Carbine;Laser;57.2;46;54;28.8;0.870;1030;11.170;73.00;119.00%;2.862;55.7;Yes;Looted; 
EWE LC-100 Frontier, CDF Edition (L);Carbine;Laser;57.2;46;54;28.8;0.003;1117;11.173;0.60;0;2.861;55.7;Yes;Daily Token Trader; 
EWE LC-120 Purpose (L);Carbine;Laser;62.7;56;51;33.1;1.000;1258;13.580;85.60;0;2.866;56.0;Yes;Looted; 
EWE LC-120 Purpose, CDF Edition (L);Carbine;Laser;62.7;56;51;33.1;0.003;1358;13.583;0.60;0;2.865;56.0;Yes;Daily Token Trader; 
EWE LC-150 Tactical (L);Carbine;Laser;71.5;74;51;43.7;1.440;1625;17.690;144.00;119.00%;2.907;59.1;Yes;Looted; 
EWE LC-150 Tactical, CDF Edition (L);Carbine;Laser;71.5;74;51;43.7;0.003;1769;17.693;0.60;0;2.907;59.0;Yes;Daily Token Trader; 
EWE LC-200 Scout (L);Carbine;Laser;73.7;91;45;47.4;2.103;1960;21.703;182.70;3096.00%;2.914;59.6;Yes;Looted; 
EWE LC-200 Scout, CDF Edition (L);Carbine;Laser;73.7;91;45;47.4;0.004;2170;21.704;0.80;0;2.914;59.6;Yes;Daily Token Trader; 
