Name,Value
Hardened Metal Mountings,0.65
Hardened Metal Plating,0.2
Hardened Metal Ruds,0.4
Hardened Nuts,0.033
Hardened Pipe,0.033
Hardened Screws,0.08
Hardening Agent,0.04
Hard Ingot,0.15
Hard Rock,0.05
Hard Work Potion,0.05
Hareer Thread,0.24
Harvey Wallbanger Cocktail,0.08
Harvey Wallbanger Cocktail Mix,0.04
Hazy Crystal,0.3
Hazy Crystal Texture,0.5
Healthy Halloween Pumpkin (Mission),0
Heating Agent,0
Heat Protective Coating,0.7
Heat Shields,0.75
Heavy Duty Core,0.05
Heavy-Duty Coupling,0.07
Heavy-Duty Engine,0.04
Heavy-Duty Filters,0.04
Heavy-Duty Joints,0.04
Heavy-Duty Seals,0.08
Heavy Power Cell,5
Hebredite Ingot,0.75
Hebredite Stones,0.25
Hebredite Texture,0.3
Hekia Texture,0.06
Hekia Timber,0.15
Hekia Veneer,0.01
Helen Venture's Walking Stick,0.1
Hematite Crystal,0.01
Hemimorphite Crystal,0.02
Hendrix Claw,0.5
Hendrix Dragon Leather,0.9
Hendrix Dragon Texture,0.15
Hendrix Hide,0.3
Hendrix Tail,0.8
Henren Cube,1.26
Henren Stems,0.63
Hessian Fabric Texture,0.04
Hexra Electroplate,0.3
Hexra Gems,0.1
High Definition GUI Component,0.3
High Grade Alloy,0.128
High Grade Bearings,0.32
High Grade Electronic Component,0.02
High Grade Metal Compound,0.45
High Grade Motion Sensor,0.05
High Grade Nuts,0.08
High Grade Plugs,0.3
High Grade Power Supply,0.09
High Grade Processor,0.26
High Grade Scrap,0.18
High Grade Screws,0.18
High Grade Wedge,0.107
Highlighter,10
High Performance Compressor,0.128
High Performance Coupling,0.0224
High Performance Engine,0.32
High Performance Filters,0.06
High Performance Pump,0.06
High Performance Vents,0.06
High Speed Control Component,0.1
High-Tech Talytic Converters,2.8
Himi Ingot,0.426
Himi Rock,0.142
Himi Texture,0.34
Hiryuu Skull,28
Hogglo DNA Samples,29.15
Hogglo Pelvis,4
Hogglo Tooth,2
Holly ECO P35 Death Vinyl,0.01
Holly ECO P56 Death Vinyl,0.01
Holly ECO P72 Death Vinyl,0.01
Horn,4.7
Horned Mutant Skull,8.5
Horny Devil Tail,0.01
Hoverboard High Power Board,2
Hoverboard High Power Pod,2
Hoverboard Low Power Board,1
Hoverboard Low Power Pod,1
Hoverboard Mid Power Board,1.5
Hoverboard Mid Power Pod,1.5
Howlite Crystal,0.05
Human Skull,21
Huon Foot,0.6
Huon Hide,1.2
Huon Leather,3.6
Huon Leather Texture,0.84
Huon Tail Spike,3.8
Hurricane Cocktail,0.02
Hurricane Cocktail Mix,0.01
Hyalite Crystal,0.08
Hydrogen Gas,0.04
Hydrogen Steam,0.02
Ignisium Ingot,2.1
Ignisium Stone,0.7
Ignisium Texture,0.9
Imperium Bearings,0.55
Imperium Compression Unit,0.55
Imperium Control Sensor,0.55
Imperium Cube,0.5
Imperium Cube Component 1,0.1
Imperium Cube Component 2,0.1
Imperium Cube Component 3,0.1
Imperium Cube Component 4,0.1
Imperium Cube Component 5,0.1
Imperium Key Cube,0.525
Imperium Servo,0.55
Improved Nanites,1
Infected Source Code,0.25
Inferior Cloth Extractor,0.01
Infrasound Amplifier Component,0.5
Infrasound Emitter Component,0.4
Inhaler,0.8
Insight Potion,0.65
Insulators,0.2
Intensity Amplifier,3.5
Interactive Simplifier Component,0.3
Iolite Crystal,0.03
Iolite Ingot,0.6
Iolite Stone,0.2
Iridium Ingot,0.15
Iridium Ore,0.05
Iron Ingot,0.39
Iron Stone,0.13
Iron Texture,0.33
Itumatrox Leather,1.05
Itumatrox Leather Texture,1.05
Itumatrox Skin,0.35
Jade,84
Jade Fragment,0.2
Jagged Tooth,0.02
Jasper,68
Jazz Ingot,0.18
Jazz Rock,0.06
Jeef Core Unit,0.2
Jeef Nawa Core Part,0.05
Jeef Qaher Hide,0.19
Jeef Qaher Leather,0.38
Jeef Soup,0.04
Jeef Zajer Hide,0.12
Jeef Zajer Leather,0.48
Jeef Zajer Texture,0.13
Jellyworm Hide,0.075
Jellyworm Leather,0.225
Jellyworm Texture,0.075
Joplin Claw,0.5
Joplin Dragon Leather,3
Joplin Dragon Texture,0.3
Joplin Hide,1
Joplin Tail,0.4
Joplin Wing,1
Jori Hide,0.03
Jori Leather,0.09
Jori Leather Texture,0.03
Jori Pectoral Fin,0.25
Kadra Claw,3.2
Kadra Eye,0.18
Kadra Hide,1
Kadra Leather,3
Kadra Leather Texture,0.72
Kaisenite Ingot,0.06
Kaisenite Stone,0.02
Kaldon,0.00001
Kaldon Stone Texture,0.03
Kamaldon Bone Crest,3
Kamaldon DNA Cartridge,0
Kamaldon Flesh,3
Kamaldon Hide,2.4
Kamaldon Leather,7.2
Kamaldon Leather Texture,1.68
Kamaldon Lower Mandible,0.6
Kamaldon Tail Club,0
Kamaldon Tongue,2
Kamaldon Upper Mandible,4.5
Kamikaze Cocktail,0.17
Kamikaze Cocktail Mix,0.085
Kanerium Ingot,7.5
Kanerium Ore,2.5
Kanerium Texture,2.7
Kaz Ingot,0.12
Kaz Stones,0.04
Kaz Texture,0.22
Kevin Rudolf - In The City Flip Flop,0.2
Kevin Rudolf - To The Sky Flip Flop,0.13
Khaffash Bone,0.11
Khaffash Hide,0.1
Khaffash Jaw,0.15
Khaffash Leather,0.3
Khaffash Texture Skin,0.1
Khorudoul Extrusion,0.08
Khorudoul Polymer,0.24
Khorudoul Texture,0.4
Khorum Alloy,0.2
Khorum Plating,0.6
Khorum Texture,1
Kiana Brain,0
Kiana DNA Cartridge,0
Kiana Ear,0.24
Kiana Heart,4
Kiana Hide,0.6
Kiana Leather,1.8
Kiana Leather Texture,0.48
Kiana Paw,2.5
Kiana Spine,3
Kiana Tail,1
King Kong Map Fragment: Coast,1
King Kong Map Fragment: Hills,1
King Kong Map Fragment: Jungle,1
King Kong Map Fragment: Legend,1
King Kong Map Fragment: Ocean,1
King Kong Map Fragment: Symbol,1
King Kong Map Fragment: X,1
Kirtz Ingot,16.8
Kirtz Stone,5.6
Kirtz Texture,5.8
Kong Map,7
Korwil Brain,0
Korwil DNA Cartridge,0
Korwil Ear,0.6
Korwil Heart,4
Korwil Hide,1.8
Korwil Leather,5.4
Korwil Leather Texture,1.2
Korwil Paw,4.2
Korwil Spine,4
Korwil Tail,1
Kreltin Soft Plate,3.5
Kunzite Crystal,0.01
Kylon's Blue,0.06
Labradorite Crystal,0.02
Lamp Attachments,0.3
Langotz Ingot,2.7
Langotz Ore,0.9
Langotz Texture,1.1
Lanorium Ingot,0.66
Lanorium Stone,0.22
Lanorium Texture,0.42
Large Plug,0.11
Large Ribbed Wool Fabric Texture,0.07
Large Striped Cotton Fabric Texture,0.02
Large Woven Cotton Fabric Texture,0.08
Leethiz Ingot,0.45
Lemmy Bushweed,0
Lemmy Dragon Leather,1.5
Lemmy Dragon Texture,0.25
Lemmy Hemp Cloth,0
Lemmy Hide,0.5
Lemmy Tail,0.7
Lemmy Wing,0.4
Leopard Cloth,1.2
Leopard Hide,0.8
Leopard Texture,0.2
Lepidocrosite Crystal,0.02
Lesser Claw,0.02
Lesser Elysia,0.08
Lesser Power Crystal,200
Letomie Fossil Backplate,12.1
Letomie Fossil Eyelense,4.2
Letomie Fossil Teeth,48.7
Letomie Hide,1.34
Letomie Leather,4.02
Letomie Leather Texture,4
Lidacon Ingot,4.5
Lidacon Stones,1.5
Lidacon Texture,1.8
Life Essence,0.06
Lightening Agent,0.2
Light Liquid,0.84
Light Mail,0.02
Light Metal Plating,0.5
Light Mind Essence,0.0001
Light Power Cell,0.05
Lip Gloss (Burgundy),8
Lip Gloss (Cardinal),8
Lip Gloss (Carnation Pink),8
Lip Gloss (Hot Pink),8
Lip Gloss (Pale Red Violet),8
Lip Gloss (Pink-Orange),8
Lip Gloss (Silver),8
Lip Liner (Black),4
Lip Liner (Burgundy),4
Lip Liner (Crimson),4
Lip Liner (Hollywood Cerise),4
Lip Liner (Maroon),4
Lip Liner (Pink-Orange),4
Lipstick (Auburn),9
Lipstick (Black),9
Lipstick (Burgundy),9
Lipstick (Cardinal),9
Lipstick (Hollywood Cerise),11
Lipstick (Pink-Orange),9
Living Vortex Hide,1
Living Vortex Leather,3
Living Vortex Texture,1
Long Bigwig Board,1.66
Long Board,0.03
Long Firn Board,0.91
Long Island Ice Tea Cocktail,0.1
Long Island Ice Tea Cocktail Mix,0.05
Long Midastree Board,0.38
Long Moonleaf Board,0.06
Long Screws,0.04
Long Stinktree Board,0.52
Longtooth Skin,0.6
Longu Claw,0.01
Longu Leather,1.5
Longu Leather Texture,0.55
Longu Plate,13
Longu Skin,0.5
Lotium Fluid,0.3
Lotium Gel,0.6
L-O-V-E Potion,0.5
Low Grade Electronic Component,0.17
Low Grade Metal Compound,0.09
Low Grade Motherboard,0.52
Low Grade Motion Sensor,0.5
Low Grade Power Supply,0.0187
Low Grade Processor,1.62
Low Grade Scrap,0.03
Luck Potion,0.04
Lulu pearl,0.36
Lulu Stone,0.12
Lulu Texture,0.48
Lumis Leach,0.42
Lurker Leather,0.18
Lurker Lube,0.1
Lycan Charm Bracelets,2
Lysterium Ingot,0.03
Lysterium Power Container,0.4
Lysterium Stone,0.01
Lysterium Texture,0.21
Lystionite Steel Ingot,4.0146
Lytairian Dust,0.19
Lytairian Powder,0.38
Madana DNA Cartridge,0
Madana Eye,3
Madana Hide,0.4
Madana Leather,1.2
Madana Leather Texture,0.29
Madana Leg,2
Madana Leg Fur,1.5
Madana Mane,2
Madana Skull,0
Madana Tail,0.2
Maffoid Head,0.02
Maganite Ingot,3.15
Maganite Ore,1.05
Maganite Texture,1.25
Magerian Mist,0.25
Magerian Spray,0.5
Magnetic Accelerator Power Unit,15
Magtonium Dust,0
Magurg Male Foot,2
Magurg Male Heart,3
Magurg Male Pincer,0.2
Magurg Male Tail,4
Magurg Male Teeth,2
Mahogany Long Board,2
Mahogany Regular Board,0.5
Mahogany Short Board,0.1
Mai Tai Cocktail,0.03
Mai Tai Cocktail Mix,0.015
Make Up Remover Rough,0.1
Make Up Remover Smooth,0.1
Malachite Crystal,0.04
Maladrite Ingot,0.12
Maladrite Stone,0.04
Malkat,0.11
Mamnoon,0.08
Mamnoon Mist,0.16
Mang Chang Hide,1
Mang Chang Leather,3
Mang Chang Texture,1
Maple Long Board,0.1
Maple Regular Board,0.05
Maple Short Board,0.01
Marcimex Brain Oil,1
Marcimex Slime,1
Marine Chainsaw Gas Cap,0
Maro Ingot,0.52
Maro Stone,0.13
Material Efficiency Component,0.5
Material Softener,0.14
Mature Halloween Pumpkin (Mission),0
Mechanomatrix Adapter Unit 1,0.3903
Mechanomatrix Adapter Unit 2,0.75
Mechanomatrix Adapter Unit 3,1.65
Mechano-Stabilizer Component 1,0.2
Mechano-Stabilizer Component 2,0.3
Mechano-Stabilizer Component 3,0.4
Medical Compress,0.18
Medium Frieze Fabric Texture,0.16
Medium Grade Electronic Component,0.0133
Medium Grade Metal,0
Medium Grade Metal Compound,0.27
Medium Grade Motherboard,0.07
Medium Grade Motion Sensor,0.01
Medium Grade Power Supply,0.048
Medium Grade Processor,0.15
Medium Grade Scrap,0.06
Medium Power Cell,0.5
Megan Ingot,0.54
Megan Stone,0.18
Megan Texture,0.38
Melatinum Ingot,0.3
Melatinum Stone,0.1
Melatinum Texture,0.13
Melchi Crystal,0.04
Melchi Water,0.02
Mermoth Leather,0.39
Mermoth Leather Texture,0.38
Mermoth Skin,0.13
Merp DNA Samples,7.02
Merp Horn,0.68
Merp Sails,0.34
Merp Textile,1.08
Merp Wool,0.36
Metallic Bone Replacement,0.28
Metal Mountings,0.6
Metal Plating,0.1
Metal Residue,0.01
Metal Ruds,0.35
Metal Skull,34
Midastree Board,0.21
Midastree Texture,0.01
Midastree Veneer,0.01
Miluca Texture,0.02
Miluca Timber,0.05
Miluca Veneer,0.01
Mind Essence,0.0001
Minotaur Arm,0.03
Minotaur Head,0.1
Minotaur Horn,0.03
Minotaur Leg,0.01
Minotaur Shin Guard,0.02
Minotaur Shoulder Pauldron,0.015
Minotaur Tail,0.01
Miranda Violet,0.04
Mitochondria,0
Modified Nanites,1
Modified Source Code,0.25
Mojito Cocktail,0.04
Mojito Cocktail Mix,0.02
Mokhat Hand,0.02
Mokhat Organ,0.06
Moldavite Crystal,0.01
Molisk Claw,0.01
Molisk DNA Samples,9.8
Molisk Enamel Buttons,0.03
Molisk Skull,5
Molisk Tooth,0.01
Monrian Enhanced Plating,3.33
Monrian Enhanced Power System,2.1
Monrian Plating,0.11
Monrian Power System,0.07
Monster Truck Tire,0.5
Monster Truck Tire Rim,1
Monster Truck Wheel,0.5
Monura Female Hide,0.03
Monura Female Leather,0.09
Monura Female Leather Texture,0.02
Monura Male Hide,0.03
Monura Male Leather,0.09
Monura Male Leather Texture,0.02
Moonleaf Board,0.03
Morpheus Ingot,2.49
Morpheus Stone,0.83
Morpheus Texture,1.03
Morrison Dragon Leather,0.9
Morrison Dragon Texture,0.15
Morrison Hide,0.3
Morrison Tail,0.4
Morrison Wing,0
Mosquito Amber,0.9
Motorhead - Ace of Spades Album,0.05
MOTORHEAD BEER CAN,0
Motorhead - Bomber Album,0.01
Motorhead - Iron Fist Album,15
Motorhead Keg,0.01
Motorhead - Motorhead Album,1
Motorhead - Overkill Album,5
Motörhead Security Blood,1
Motörhead Security Hide,0.5
Motörhead Security Horn,2
Mourner Leather,0.45
Mourner Leather Texture,0.45
Mourner Skin,0.15
Wiles Stone,0.3
Wiley Ingot,0.9
Wind Screen,0.9
Wolf Blood,0.5
Wolf Charm Bracelets,5
Wolf Eye,0.1
Wolf Fangs,0.5
Wolf Fur,0.5
Wolf Heart,0.5
Wolf Leather,0.5
Wolf Meat,0.3
Wolf Paw,0.8
Wolf Wool,0.3
Wombana Hide,0.15
Wombana Leather,0.45
Wombana Leather Texture,0.11
Wood Shavings,0.001
Wool,0.2
Wool Cloth,0.6
Wool Thread,0.75
Worn Feedback Panel,0.05
Worn Fuel Pump,0.05
Worn Splicing Detector,0.05
Wrinkled Felt Fabric Texture,0.28
Wulfenite Crystal,0.09
Xelo Haze,0.39
Xelo Vapour,0.78
Xeremite Ingot,12
Xeremite Ore,4
Xeremite Texture,4.2
Yarrijak DNA Cartridge,0
Yarrijak Head,0
Yarrijak Tail,0.25
Yarrijak Thorax,0.25
Yarrijak Wing,1.5
Yashib Ingot,0.65
Yashib Stone,0.13
Ycy Ingot,1.05
Yellow Cassette,0.01
Yellow CD,0.01
Yellow Crystal,0.01
Yellow Crystal Texture,0.02
Yog Eyeball,1.5
Yog Skin,0.7
Yog Tusk,0.1
Youd,0.04
Youd Bottle,0.08
Youngite Crystal,0.04
Yuka DNA Cartridge,0
Yuka Flesh,4
Yuka Hide,2.8
Yuka Leather,8.4
Yuka Leather Texture,1.92
Yuka Long Bone,2
Yuka Mandible,6
Yuka Shoulder Plate,1
Yuka Skull Plate,0
Yuka Spinal Plate,4.8
Yulerium Ingot,1.5
Yulerium Stones,0.5
Yulerium Texture,0.6
Zadul Brain,0
Zadul DNA Cartridge,0
Zadul Eye,0.25
Zadul Foot,1
Zadul Hide,0.15
Zadul Leather,0.45
Zadul Leather Texture,0.11
Zadul Nail,1
Zadul Spine,3
Zanderium Ingot,7.5
Zanderium Ore,2.5
Zekkonian Relic,1
Zekkonian Wasp Queen Call,0
Zeladoth Texture,4.7
Zincalicid Energy Crystal,4.24
Zinc Ingot,0.3
Zincite Crystal,0.01
Zinc Stone,0.1
Zinc Texture,0.3
Zir Button,0.18
Zircon Ingot,0.15
Zircon Stone,0.05
Zoisite Crystal,0.06
Zoldenite Crystal,0.08
Zoldenite Dust,0.04
Zolphic Grease,0.08
Zolphic Oil,0.04
Zombie Blood,1
Zombie Bone,0.8
Zombie Bushweed,0
Zombie Charm Bracelets,4
Zombie Eye,3
Zombie Hand,4
Zombie Hemp Cloth,0
Zombie Leg,1
Zombie Plasma,2
Zombie Rotting Flesh,0.5
Zorn Star Ingot,0.03
Zorn Star Ore,0.01
Zorn Star Texture,0.0233
Zulax Ingot,1.95
Zulax Stones,0.65
Zulax Texture,0.78
Zyn'Dos Blood,10
Zyn'Kimbro Spirit Dust,10
Robot Scrap Metal,0.02
Robot SecEnt Head,38
Robot Sensor,20
Robot Servo,17
Robot Shield Generator,70
Robot Speech Emulation Unit,15
Robot Stabilizer,8.6
Robot Tactics Analysis Unit,32
Robot Target Processor,9.1
Robot Thermal Sensor,0.35
Robot Tilt Compensator,10.5
Robot Tracking Sensor,38.9
Robot Weapon Amplifier,0.15
Robot Weapon Grip,0.058
Robot Weapon Sight,0.21
ROCKstar Dust,0.00001
ROCKtropia Gold Coin,0.0001
ROCKtropia Record,0.001
ROCKtropia Rollies,0.1
ROCKtropia Telemans Coin,2
ROCKtropia War Bond,5
Rocktropia War Bond Blueprint (L),0
ROCTEC Chair Frame,0.4
ROCTEC Combuster,0.3
ROCTEC Disc Brake,0.6
ROCTEC Drive Shaft,0.9
ROCTEC Girder Beams,0.7
ROCTEC Lamp Attachments,0.3
ROCTEC Radiator,0.4
ROCTEC Steering Rod,0.5
ROCTEC Vehicle Battery,0.91
ROCTEC Wetski Steering Column,1
ROCTEC Wind Screen,0.9
Rolled Smokes,1
Romanian Pirate Flag,3
Rookie Weapon Cell,0.0001
Root Acid,0.64
Rosewood Long Board,0.5
Rosewood Regular Board,0.45
Rosewood Short Board,0.25
Rotten Banana,0.01
Rotten Banana Bunch,1
Rotten Halloween Pumpkin (Mission),0
Rouge (Burgundy),5
Rouge (Cardinal),5
Rouge (Carnation Pink),5
Rouge (Coral),5
Rouge (Hot Pink),5
Rouge (Pink-Orange),5
Rough Hide,3.5
Rough Leather,10.5
Rough Metal Texture,0.5
Rubberized Grommit,0.32
Rubber Lists,0.4
Ruby,400
Ruby Texture,0
Rudolf Claw,0.1
Rudolf Dragon Leather,0.6
Rudolf Dragon Texture Old,0.6
Rudolf Hide,0.2
Rudolf Tail,0.2
Rudolf Texture,0.1
Rugaritz Ingot,4.5
Rugaritz Ore,1.5
Rugaritz Texture,1.7
Russian Pirate Flag,1
Rustic Chainsaw Gas Cap,0.1
Rusty Metal Robot Scrap,0.74
Rutol,0.00001
Rutol Stone Texture,0.04
Ruxxnet Code,0.3
Sabakuma Fang,0.01
Sabakuma Leather,0.33
Sabakuma Leather Texture,0.15
Sabakuma Scale,5
Sabakuma Skin,0.11
Sacred Fire Skull,15
Sacred Forest Skull,5
Sacred Water Skull,10
Sand King Blood Sample,200
Sandrunner Fuel Cells,0.04
Satin Fabric Texture,0.35
Scapolite,100
Scoria Hide,0.45
Scoria Leather,1.35
Scoria Leather Texture,0.3
Scoria leg,0.32
Scrap Iron,0.058
Scrap Metal,0.0416
Scrap Steel,0.0392
Sea Wraith Hide,0.08
Sea Wraith Leather,0.24
Sea Wraith Texture,0.088
Second-Rate Cloth Extractor,0.01
Selenite Crystal,0.02
Sham,0.05
Sham Sand,0.01
Shamsdar Card Part (Center),0.01
Shamsdar Card Part (Left),0.01
Shamsdar Card Part (Right),0.01
Shark Blood,0.01
Shark Eye,0.01
Shark Fin,0.01
Shark Head,0.1
Shark Tail,0.02
Shark Tooth,0.2
Sharp Longu Claw,1
Shed Skreel Tail,0.01
Shinkiba Skin,0.15
Shinkiba Skull,4
Shinkiba Tusk,4
Shoggoth Skin,0.15
Shoggoth Tentacle,5.6
Short Bigwig Board,0.76
Short Firn Board,0.18
Short Midastree Board,0.04
Short Moonleaf Board,0.01
Short Stinktree Board,0.11
Shub Skin,1.03
Shub Skull,15.6
Sicarius Brute Hide,0.6
Sicarius Brute Leather,1.8
Sicarius Brute Leather Texture,0.48
Sicarius Commander Hide,0.5
Sicarius Commander Leather,1.5
Sicarius Commander Leather Texture,0.36
Sicarius Hide,0.4
Sicarius Leather,1.2
Sicarius Leather Texture,0.29
Sickly Halloween Pumpkin (Mission),0
Silver Party Flask,0.05
Silver Shaker,0.5
Simple 1 Conductors,0.3
Simple 1 Plastic Ruds,0.5
Simple 1 Plastic Springs,0.4
Simple 2 Conductors,0.65
Simple 2 Plastic Ruds,0.95
Simple 2 Plastic Springs,0.75
Simple 3 Conductors,1.1
Simple 3 Plastic Ruds,1.4
Simple 3 Plastic Springs,1.3
Simple 4 Conductors,1.5
Simple Borghee,0.15
Simple Copchaih,0.14
Simple Ibreh,0.06
Simple Mismar,0.21
Simple Mosannan,0.28
Skeleton Foot,0.01
Skeleton Gold,0.01
Skeleton Hand,0.01
Skeleton Head,0.1
Skeleton Hip,0.03
Skeleton Jaw,0.03
Skeleton Ribs,0.05
Skeleton Soul,0.006
Skeleton Spine,0.07
Small Bird Wing,4.38
Small Plugs,0.14
Snablesnot Leather,0.12
Snablesnot Leather Texture,0.15
Snablesnot Skin,0.04
Snaggle Charm Bracelets,3
Snarksnot Leather,0.18
Snarksnot Leather Texture,0.19
Snarksnot Skin,0.06
Socket 1 Component,0.1
Socket 2 Component,0.1
Socket 3 Component,0.1
Socket 4 Component,0.1
Socket 5 Component,0.1
Socket 6 Component,0.1
Socket 7 Component,0.1
Socket 8 Component,0.1
Socket 9 Component,0.1
Socket 10 Component,0.1
Sodalite Crystal,0.03
Softening Agent,0.14
Soft Hide,0.1
Soft Leather,0.3
Soft Leather Texture,0.13
Solar 6V Gel Batteries,0.65
Solar 8V Gel Batteries,0.7
Solar 12V Gel Batteries,0.9
Solar 14V Gel Batteries,1.65
Solar 16V Gel Batteries,1.95
Solares Ingot,3.59
Solis Beans,0.78
Solis Paste,1.56
Somin Glue,0.12
Somin Tar,0.06
Songkra Alloy,0.25
Songkra Plating,0.75
Songkra Texture,1.2
Songtil Agent,0.06
Sonic Pulse Amplifier,0.2
Sopur,0.00001
Sopur Stone Texture,0.05
Sothorite Ingot,0.27
Sothorite Ore,0.09
Spanish Pirate Flag,3
Special Issue Weapon Cell,0.0001
Speed Metal,0.05
Sphene,93
Spruce Long Board,1
Spruce Regular Board,0.8
Spruce Short Board,0.5
Standard Compressor,0.0272
Standard Core,0.0136
Standard Damper,0.0136
Standard Feedback Panel,0.0452
Standard Hinge,0.058
Standard Holo Module,0.084
Standard Intelligence Module,0.17
Standard Lever,0.0192
Standard Locks,0.06
Standard Magnets,0.25
Standard Matrix,0.0512
Standard Plate,0.0128
Standard Rod,0.0284
Standard Springs,0.07
Standard Transparency Layer,0.0244
Standard Valve,0.0336
Standard Vents,0.0168
Standard VisioMem,0.0204
Standard Wedge,0.0344
Star Dust,0.16
Star Particles,0.08
Starrix Nodes,0.25
Starrix Quilting,0.75
Steering Rod,0.5
Stibnite Crystal,0.06
Stimulation Modulator,3
Stinktree Board,0.31
Stinktree Texture,0.04
Stinktree Veneer,0.01
Strengthened Metal Plating,0.83
Striped Frote Fabric Texture,0.21
Strong Cloth Extractor,0.01
Strong Magnets,0.5
Strong Sinew,19
Style Potion,0.08
Suede Fabric Texture,0.33
Summoning Totem,0.0001
Sunburst Ingot,0.77
Sunburst Stone,0.11
Sunburst Texture,0.18
Sunjoq Hide,0.06
Sunjoq Leather,0.18
Sunjoq Texture Skin,0.06
Super Adhesive,0.02
Super Alloy Mountings,0.7
Super Alloy Plating,0.3
Super Alloy Ruds,0.5
Super Charger Component,0.4
Superior Cloth Extractor,0.01
SUPERStar Dust,0
Surface Hardener Component,0.2
Surface Toughness Component,0.3
Survey Probe,0.05
Suspended Life Essence,0.06
Swamp Lurker Hide,0.06
Swamp Lurker Oil,0.03
Swamp Lurker Texture,0.08
Swedish Pirate Flag,1
Sweet Glow Texture,0.03
Sweetstuff,0.01
Synthetic Mind Essence,0.0001
Synthetic Rubber,0.57
System Stabilizer,0.1
Tablet Frame,5
Tabtab Cavity,0.05
Tabtab Hide,0.01
Tabtab Leather,0.006
TabTab Texture Skin,0.002
TabTab Tooth,0.05
Tailoring Remnants,0.01
Tail Tip,0.05
Talent Potion,0.03
Tananite Ore,0.15
T-Angle,0.22
Tanhok Amber,5
Tantardion Horn,0.02
Tantardion Leather,1.8
Tantardion Leather Texture,0.66
Tantardion Skin,0.6
Tantillion Leather,1.35
Tantillion Leather Texture,0.39
Tantillion Skin,0.45
Tanzanite Crystal,0.01
Tears Potion,0.4
Tech Gizmo 1,0.4
Tech Gizmo 2,0.4
Tech Gizmo 3,0.4
Tech Gizmo 4,0.4
Tech Gizmo 5,0.4
Tech Gizmo 6,0.4
Tech Gizmo 7,0.4
Tech Gizmo 8,0.4
Techno Ingot,0.3
Techno Rock,0.1
Teladon Foot,0.6
Teladon Hide,2
Teladon Leather,6
Teladon Leather Texture,1.44
Teladon Tail Spike,4
Telfium Ingot,0.42
Telfium Stones,0.14
Telfium Texture,0.25
Tension Straps,0.05
Terrestrial Gland,0.1
Terrestrial Hormone,0.32
Terrudite Ingot,3.3
Terrudite Stone,1.1
Terrudite Texture,1.3
Terrycloth Fabric Texture,0.15
Texture Enhancer,0.01
Tezlapod Leather,0.69
Tezlapod Leather Texture,0.67
Tezlapod Skin,0.23
Thawr Hide,0.2
Thawr Horn,0.2
Thawr Ivory,0.8
Thawr Leather,0.6
Thawr Sinew,0.15
Thawr Texture Skin,0.2
Thawr Wing,0.03
The Devils Mickey Finn,1
Thermodure Plastic Texture,0.28
Thermodure Robot Plastic,0.27
THING Blood,1
Thin Wool,0.25
Thulite Crystal,0.06
Tiarak Elbow Spur,1.25
Tiarak Hide,0.2
Tiarak Leather,0.6
Tiarak Leather Texture,0.15
Tiarak Nail,0.2
Tier 1 Component,0.1
Tier 2 Component,0.14
Tier 3 Component,0.2
Tier 4 Component,0.27
Tier 5 Component,0.4
Tier 6 Component,0.5
Tier 7 Component,0.7
Tier 8 Component,1
Tier 9 Component,1.4
Tier 10 Component,2
Tiger Cloth,1.5
Tiger Hide,0.5
Tiger's Eye,0.08
Tiger Texture,0.3
Tight Knitted Wool Fabric Texture,0.05
Time Travel Crystal,0.01
Tiny Mutant Skull,8
Togolossi Hide,1
Togolossi Leather,3
Togolossi Leather Texture,0.72
Topaz,59
Topaz Crystal,0.02
Tourmaline,75
Tourmaline Crystal,0.09
TPT Fragment,0.01
Traeskeron Leather,0.9
Traeskeron Leather Texture,0.31
Traeskeron Matriarch Blood Sample,100
Traeskeron Skin,0.3
Transformer,2.17
Transgen Bombardo,1
Transgen Caroot,1
Transgen Haimoros,1
Transgen Papplon,1
Tree Dragon Leather,0
Tridenite Ingot,6
Tridenite Ore,2
Tridenite Texture,2.2
Triphased Auxiliary Socket,0.052
Triphased Holo Module,0.2
Triphased Intelligence Module,0.5
Triphased Power Systems,0.04
Triphased Transmitter,0.04
Triphased Wires,0.12
Tripudion Leather,0.9
Tripudion Leather Texture,0.34
Tripudion Skin,0.3
Troll Bushweed,0
Trutun,0.00001
Trutun Stone Texture,0.06
Turp Leather,0.06
Turp Leather Texture,0.07
Turp Skin,0.02
Turquoise,41
Turquoise Crystal,0.02
Twin Halloween Pumpkin (Mission),0
Typonolic Gas,0.3
Typonolic Steam,0.15
Ubo DNA Cartridge,0
Ubo Eye,1
Ubo Flesh,2
Ubo Mandible,2
Ubo Poison Globule,5
Ubo Vesicle,0.04
Ulexite Crystal,0.06
Ultra Cold Fabric,1.6
Umbranoid Bag (Blue),10
Umbranoid Bag (Bright),27
Umbranoid Bag (Dark),24
Umbranoid Bag (Red),15
Umbranoid Paste Pot,82
Umbranoid Symbol (Female),1
Umbranoid Symbol (Male),1
Umbranoid Tube,23
Universal Ammo,0.0001
Unruly's Dense Plate,1.2
Valurite Ingot,18
Valurite Stone,6
Valurite Texture,6.2
Vampire Blood,0.1
Vampire Bone,0.1
Vampire Charm Bracelets,2
Vampire Eye,0.5
Vampire Fangs,0.5
Vampire Heart,0.5
Vampire Plasma,0.3
Vanadinite Crystal,0.06
Vedacore Fibre,0.15
Vedacore Sheeting,0.45
